Waktu;Nilai CIF (US$)
April 2023;19451390
April 2023;10959413
April 2023;53809411
April 2023;3258931
April 2023;1597469
April 2023;5068306
April 2023;42146418
April 2023;45279531
April 2023;32145512
April 2023;152260385
April 2023;776571537
April 2023;339290379
April 2023;89239685
April 2023;5706764
April 2023;134320226
April 2023;3032263
April 2023;28220743
April 2023;1250569
April 2023;4851077
April 2023;38233140
April 2023;58247347
April 2023;2026606638
April 2023;1741833738
April 2023;17345905
April 2023;637360786
April 2023;18896913
April 2023;23044853
April 2023;225384621
April 2023;23725967
April 2023;8527697
April 2023;7042210
April 2023;108262358
April 2023;27515569
April 2023;41369911
April 2023;99504
April 2023;60154870
April 2023;15867109
May 2023;42378945
May 2023;79347009
May 2023;51806512
May 2023;151500355
May 2023;14728348
May 2023;1041274
May 2023;87621538
May 2023;118093230
May 2023;64053772
May 2023;496403118
May 2023;19694361
May 2023;254860728
May 2023;6629767
May 2023;608215
May 2023;29165012
May 2023;5017047
May 2023;238206376
May 2023;105308410
May 2023;51153238
May 2023;33601842
May 2023;99601471
May 2023;15245528
May 2023;362383486
May 2023;87156770
May 2023;170322875
May 2023;184150937
May 2023;3551052034
May 2023;210786985
May 2023;603337185
May 2023;143970235
May 2023;167307502
May 2023;136593285
May 2023;134548746
May 2023;73943684
May 2023;62279684
May 2023;10006196
May 2023;6990473
May 2023;311723126
May 2023;929152180
May 2023;212326820
May 2023;59058923
May 2023;52548800
May 2023;1007156
May 2023;61985277
May 2023;656306
May 2023;73801
May 2023;176709986
May 2023;157352631
May 2023;21079062
May 2023;263381
May 2023;9802346
May 2023;169955479
May 2023;4302908
May 2023;192607636
May 2023;131793818
May 2023;59115139
May 2023;849842
May 2023;29333808
May 2023;58600991
May 2023;164894605
May 2023;23394388
May 2023;23585287
May 2023;14562363
May 2023;92718001
May 2023;3985453
May 2023;2552776
May 2023;5536548
May 2023;75546027
May 2023;62867941
May 2023;44608561
May 2023;350596749
May 2023;1169398146
May 2023;421721048
May 2023;137660605
May 2023;7156962
May 2023;204873669
May 2023;5989633
May 2023;35724686
May 2023;1907519
May 2023;18278229
May 2023;62943196
May 2023;98915931
May 2023;3090316849
May 2023;2417790739
May 2023;121596750
May 2023;1126624566
May 2023;32909407
May 2023;76147132
May 2023;376774656
May 2023;29610852
May 2023;14644920
May 2023;14790867
May 2023;166885780
May 2023;43019044
May 2023;73618788
May 2023;164639
May 2023;92303467
May 2023;61782334
June 2023;44467400
June 2023;61270416
June 2023;36012058
June 2023;126588557
June 2023;12910805
June 2023;735069
June 2023;65115901
June 2023;93385302
June 2023;47814078
June 2023;412436234
June 2023;12467559
June 2023;148478509
June 2023;8173124
June 2023;555643
June 2023;18121630
June 2023;7296290
June 2023;266103084
June 2023;86335882
June 2023;41822370
June 2023;23958712
June 2023;81454749
June 2023;11654820
June 2023;451736141
June 2023;61412451
June 2023;109199971
June 2023;147396670
June 2023;2537629812
June 2023;207803071
June 2023;469395832
June 2023;119215032
June 2023;119678441
June 2023;108387872
June 2023;112487320
June 2023;52842993
June 2023;53223000
June 2023;17385941
June 2023;6281108
June 2023;256268425
June 2023;742360115
June 2023;173372508
June 2023;47236434
June 2023;41139273
June 2023;511390
June 2023;39245515
June 2023;479964
June 2023;97553
June 2023;141657505
June 2023;126701637
June 2023;15505379
June 2023;20466
June 2023;8087556
June 2023;135444021
June 2023;3202438
June 2023;155023840
June 2023;83611283
June 2023;48490784
June 2023;763034
June 2023;21937566
June 2023;42109926
June 2023;140755343
June 2023;18545621
June 2023;19576490
June 2023;13418587
June 2023;71620285
June 2023;2970688
June 2023;2465886
June 2023;4021322
June 2023;43670632
June 2023;52653715
June 2023;36581633
June 2023;265982265
June 2023;981867273
June 2023;386726508
June 2023;124505904
June 2023;6934552
June 2023;169629794
June 2023;4862328
June 2023;31288264
June 2023;6734759
June 2023;7347911
June 2023;46008019
June 2023;72324069
June 2023;2581096614
June 2023;1971966815
June 2023;9647207
June 2023;823691515
June 2023;116791312
June 2023;72054147
June 2023;269173351
June 2023;21887156
June 2023;9340765
June 2023;22667068
June 2023;143834602
June 2023;34521989
June 2023;57147707
June 2023;316066
June 2023;91003572
June 2023;150358848
July 2023;32484481
July 2023;115125673
July 2023;40643632
July 2023;123191572
July 2023;7193737
July 2023;1021945
July 2023;121477497
July 2023;112716356
July 2023;43832993
July 2023;493522826
July 2023;14281711
July 2023;149124763
July 2023;7488666
July 2023;470845
July 2023;26270680
July 2023;5129605
July 2023;270688773
July 2023;79652354
July 2023;47754100
July 2023;32264960
July 2023;96552724
July 2023;14799785
July 2023;325673979
July 2023;89356970
July 2023;94487585
July 2023;177861722
July 2023;3456056893
July 2023;227540014
July 2023;499496545
July 2023;130195552
July 2023;173781273
July 2023;125326104
July 2023;134988982
July 2023;61683934
July 2023;53548515
July 2023;3885361
July 2023;6167207
July 2023;291843498
July 2023;826188929
July 2023;204114742
July 2023;51899716
July 2023;51106604
July 2023;1615628
July 2023;50573773
July 2023;729027
July 2023;163231
July 2023;139781040
July 2023;141205738
July 2023;20004233
July 2023;1357273
July 2023;6436300
July 2023;120410010
July 2023;3768115
July 2023;162177947
July 2023;108033352
July 2023;48783951
July 2023;838156
July 2023;23493999
July 2023;47279240
July 2023;127301662
